customer_id,first_name,last_name,email,phone,street_address,city,state_code,zip_code,date_of_birth,loyalty_tier,lifetime_order_count,lifetime_spend,preferred_channel,created_at,updated_at,source_system
1,Samantha,Anderson,samantha.anderson760@outlook.com,4504283286,8929 Sunset Blvd,San Francisco,CA,93679,1979-12-16,gold,20,1686.06,online,2020-01-21 04:34:57,2024-11-02 00:15:55,loyalty_program
2,Amanda,Scott,amanda.scott221@protonmail.com,544-304-2519,5926 Walnut St,Dallas,TX,79072,1961-03-29,bronze,5,468.08,catalog,2020-05-22 08:54:49,2025-11-26 14:50:30,pos_instore
3,Donna,Hernandez,donna.hernandez888@gmail.com,589-484-8428,8752 Highland Dr,Buffalo,NY,11339,1996-06-21,silver,7,459.92,mobile,2023-03-24 22:14:55,2025-01-26 16:11:31,customer_service
4,Mark,Adams,mark.adams235@protonmail.com,232-523-7572,9578 Sunset Blvd,Sacramento,CA,93271,1987-06-23,bronze,4,227.24,catalog,2021-11-12 09:44:27,2024-10-16 10:41:26,customer_service
5,Amy,Lopez,,356-842-3621,1877 Meadow Ln,Sacramento,CA,96151,1978-12-09,gold,16,1105.0,catalog,2022-11-22 21:19:18,2024-09-25 15:28:59,mobile_app
6,Sharon,Lee,sharon.lee4@icloud.com,936-469-9201,8690 Main St,Alexandria,VA,22756,1998-11-01,gold,20,2180.77,in_store,2020-03-01 12:17:28,2024-09-25 21:21:55,mobile_app
7,Michelle,Walker,michelle.walker247@aol.com,280-287-8962,8836 Union St,San Francisco,CA,95840,1982-12-19,gold,21,977.45,in_store,2023-05-24 15:01:19,2025-12-04 17:09:08,mobile_app
8,Jeffrey,Kelly,jeffrey.kelly124@yahoo.com,430-265-6539,3900 Park Ave,Princeton,NJ,07439,2003-05-18,bronze,6,490.61,online,2021-02-15 01:53:10,2025-09-17 13:00:53,customer_service
9,Jacob,Young,jacob.young827@hotmail.com,394-296-2588,5560 Pine Rd,Norfolk,VA,21670,1972-01-24,silver,9,669.96,online,2023-10-25 19:03:03,2024-10-17 21:11:14,loyalty_program
10,Nancy,Scott,nancy.scott256@protonmail.com,277-653-2604,961 Cedar Ln,Arlington,VA,20118,1990-01-10,bronze,5,631.67,in_store,2022-04-03 22:58:23,2025-06-19 09:58:14,mobile_app
11,Jason,Richardson,jason.richardson159@yahoo.com,503-422-1958,1313 Cedar Ln,Seattle,WA,99219,1961-02-04,silver,10,969.78,catalog,2021-12-31 18:04:25,2025-05-10 14:55:18,ecommerce
12,Larry,Young,larry.young609@gmail.com,834-283-7868,5181 Union St,Minneapolis,MN,55020,1996-02-12,silver,12,1367.7,mobile,2020-11-06 15:08:33,2024-08-26 21:40:43,customer_service
13,Margaret,Bell,margaret.bell136@outlook.com,270-450-7054,2201 Park Ave,New York,NY,10877,1968-12-11,bronze,6,571.06,online,2022-04-26 03:45:17,2025-02-04 20:19:03,customer_service
14,Anthony,Baker,  ANTHONY.BAKER704@ICLOUD.COM  ,470-717-9004,7240 High St,Jacksonville,FL,34300,1955-11-13,bronze,1,126.97,online,2020-12-13 13:55:16,2024-08-28 10:38:49,pos_instore
15,Anna,Jones,anna.jones597@aol.com,351-640-3088,2533 Washington Blvd,Savannah,GA,31640,1970-11-19,bronze,3,328.93,in_store,2023-07-04 22:53:58,2024-07-20 06:03:04,pos_instore
16,Jack,Nelson,jack.nelson822@icloud.com,952-454-5371,3729 Washington Blvd,Detroit,MI,49352,1972-04-29,bronze,4,476.64,in_store,2023-05-22 23:46:37,2025-03-12 23:14:46,mobile_app
17,David,Scott,  DAVID.SCOTT657@AOL.COM  ,609-895-9785,7150 Spring St,Akron,OH,43474,1989-07-23,bronze,1,107.83,mobile,2021-08-13 13:18:02,2025-01-14 20:22:18,ecommerce
18,Alexander,Morris,alexander.morris533@protonmail.com,751-903-4228,6593 Summit Ave,San Diego,CA,94541,1966-06-02,bronze,3,290.34,online,2021-08-19 00:38:03,2025-05-23 13:41:15,loyalty_program
